TIPO_UNIVERSIDAD;MODALIDAD;UNIVERSIDAD;RAMA_ENSEÑANZA;EGR_C16_17;EGR_C15_16;EGR_C14_15;EGR_C13_14;EGR_C12_13;EGR_C11_12;EGR_C10_11;EGR_C09_10
Universidades Públicas;Presencial;A Coruña;Ciencias Sociales y Jurídicas;1567;1669;1662;1915;1712;1434;1629;1566
Universidades Públicas;Presencial;A Coruña;Ingeniería y Arquitectura;886;1187;1349;1179;1233;1278;1151;1224
Universidades Públicas;Presencial;A Coruña;Artes y Humanidades;77;87;109;100;86;113;91;98
Universidades Públicas;Presencial;A Coruña;Ciencias de la Salud;348;379;373;368;355;296;413;371
Universidades Públicas;Presencial;A Coruña;Ciencias;166;193;148;132;166;125;116;127
Universidades Públicas;Presencial;Alcalá;Ciencias Sociales y Jurídicas;1722;1656;1669;1868;1580;2303;2432;1968
Universidades Públicas;Presencial;Alcalá;Ingeniería y Arquitectura;711;704;958;918;874;861;792;907
Universidades Públicas;Presencial;Alcalá;Artes y Humanidades;429;404;379;371;353;307;325;278
Universidades Públicas;Presencial;Alcalá;Ciencias de la Salud;708;800;808;691;647;425;601;539
Universidades Públicas;Presencial;Alcalá;Ciencias;343;320;377;420;505;414;367;356
Universidades Públicas;Presencial;Alicante;Ciencias Sociales y Jurídicas;2909;3052;3162;2849;2656;3087;2798;2436
Universidades Públicas;Presencial;Alicante;Ingeniería y Arquitectura;739;825;994;917;1130;1077;977;651
Universidades Públicas;Presencial;Alicante;Artes y Humanidades;629;598;635;692;601;554;537;446
Universidades Públicas;Presencial;Alicante;Ciencias de la Salud;355;357;308;374;150;365;311;280
Universidades Públicas;Presencial;Alicante;Ciencias;342;342;407;344;325;361;383;297
Universidades Públicas;Presencial;Almería;Ciencias Sociales y Jurídicas;1632;1824;1803;1823;1351;1797;1709;1576
Universidades Públicas;Presencial;Almería;Ingeniería y Arquitectura;302;232;243;217;258;283;291;238
Universidades Públicas;Presencial;Almería;Artes y Humanidades;160;178;135;137;138;116;106;66
Universidades Públicas;Presencial;Almería;Ciencias de la Salud;409;470;386;365;266;148;302;255
Universidades Públicas;Presencial;Almería;Ciencias;85;102;110;81;75;96;104;75
Universidades Públicas;Presencial;Autónoma de Barcelona;Ciencias Sociales y Jurídicas;3550;3506;3707;3616;3181;3225;3388;3119
Universidades Públicas;Presencial;Autónoma de Barcelona;Ingeniería y Arquitectura;479;527;497;471;534;520;504;557
Universidades Públicas;Presencial;Autónoma de Barcelona;Artes y Humanidades;1232;1172;1234;1175;1137;1083;954;877
Universidades Públicas;Presencial;Autónoma de Barcelona;Ciencias de la Salud;2164;2331;1977;1847;1559;886;1503;1245
Universidades Públicas;Presencial;Autónoma de Barcelona;Ciencias;1129;979;1069;1034;1071;1056;898;883
Universidades Públicas;Presencial;Autónoma de Madrid;Ciencias Sociales y Jurídicas;2858;2801;2912;3146;3544;3020;3663;4003
